default_flag,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_msinie,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,sy_dist
0,1,2,8,5.6,0.055999999999999994,14.4,0.15,4746.0,0.75,0.74,4.13,41.3342
1,1,2,8,237.6,0.68,104.0,0.19,4746.0,0.79,0.74,4.13,41.3342
0,1,1,8,3.48777,0.0452,145.56,0.019,5393.0,0.8300000000000001,1.01,4.68,84.4069
0,1,1,8,3.487,0.046,152.55,0.05,5400.0,0.87,1.1,4.4,84.4069
1,1,1,8,3.48777,0.04,187.5197,0.02,5393.0,0.91,1.47,4.69,84.4069
0,1,2,8,1667.0,2.28,168.44,0.05,4475.0,0.52,0.57,4.1,27.1665
1,1,2,8,1634.0,2.36,206.5895,0.05,4550.0,0.64,0.65,4.64,27.1665
1,1,2,8,74.2,0.3,15.37,0.4,4550.0,0.64,0.65,4.64,27.1665
1,1,1,8,714.2999900000001,1.66,3108.3774,0.21,4545.0,19.17,2.12,2.2,925.2139999999999
0,1,1,8,714.3,2.1,3368.998,0.21,4605.0,9.955,2.4,3.1950000000000003,925.2139999999999
0,1,1,8,655.59998,1.34,905.8155,0.54,4665.0,0.74,0.31,4.19,34.4603
1,1,1,8,655.6,1.34,1620.9,0.54,4714.0,0.69,0.74,4.26,34.4603
1,1,1,3,10037.5,2.6,1692.2624528301887,0.44333333333333336,580.5,0.774,0.02,4.72,112.41715000000002
1,1,1,3,5023.24455,210.0,1763.6249056603774,0.3466666666666667,1922.875,0.858,0.35,4.6025,190.37400000000002
1,1,1,8,8.9891,325.0,1834.987358490566,0.25,3265.25,0.9420000000000001,0.9,4.484999999999999,157.998
1,1,1,3,5.24902785,440.0,1906.3498113207547,0.125,4607.625,1.026,0.925,4.3675,190.72
1,1,1,9,1.5089556999999998,220.01295,1977.7122641509434,0.0,5950.0,1.11,0.95,4.25,787.909
0,1,1,9,1.50897655,0.0259,2049.074716981132,0.071,5950.0,1.12,0.95,4.25,787.909
0,1,1,9,1.5089686000000002,0.02536,2120.437169811321,0.0535,5950.0,1.13,0.95,4.31,787.909
0,1,1,9,1.5089682,0.02752,2191.7996226415094,0.036000000000000004,6298.0,1.23,1.22,4.423333333333333,787.909
0,1,1,9,1.5089556999999998,0.0261,2263.1620754716982,0.0,5950.0,1.14,1.03,4.536666666666667,787.909
0,1,1,9,13.2406,0.106,2334.5245283018867,0.265,5075.0,0.74,0.9,4.65,338.38599999999997
1,1,1,9,13.2406,0.1055,2405.8869811320756,0.53,5075.0,0.79,0.89,4.65,338.38599999999997
0,1,1,9,13.2406,0.1055,2477.2494339622644,0.524,5075.0,0.79,0.89,4.506666666666667,338.38599999999997
0,1,1,9,2.994325,0.04351,2548.611886792453,0.0,5757.5,1.33,1.23,4.363333333333333,655.0369999999999
1,1,1,9,2.9943299999999997,0.0436,2619.9743396226413,0.0,6440.0,1.37,1.27,4.22,655.0369999999999
0,1,1,9,2.9943275,0.043835,2691.33679245283,0.18,6343.0,1.36,1.56,4.27,655.0369999999999
0,1,1,9,2.994325,0.04407,2762.699245283019,0.36,6440.0,1.37,1.27,4.265,655.0369999999999
0,1,1,9,2.9943299999999997,0.044000000000000004,2834.0616981132075,0.25666666666666665,6440.0,1.37,1.26,4.26,655.0369999999999
0,1,1,9,2.828042,0.0394,2905.424150943396,0.15333333333333332,5675.0,1.05,1.02,4.41,1126.37
0,1,1,9,2.828042,0.04013,2976.786603773585,0.05,5675.0,1.12,1.08,4.395,1126.37
1,1,1,9,2.828042,0.04016,3048.1490566037737,0.07,5675.0,1.12,1.08,4.38,1126.37
0,1,1,9,2.82805268,0.0392,3119.511509433962,0.0685,5810.0,1.05,1.0,4.38,1126.37
0,1,1,9,4.03519,0.05107,3190.8739622641506,0.067,5945.0,1.01,1.09,4.32,1148.93
0,1,1,9,4.03519,0.051,3262.2364150943395,0.0335,5945.0,1.27,1.09,4.26,1148.93
1,1,1,9,4.03519,0.051,3333.5988679245283,0.0,5945.0,1.01,1.09,4.46,1148.93
0,1,1,9,1.51214,0.026869999999999998,3404.9613207547172,0.018000000000000002,6035.0,1.19,1.12,4.34,1744.6
0,1,1,9,1.51214,0.026910000000000003,3476.3237735849057,0.036000000000000004,6040.0,1.21,1.13,4.345,1744.6
1,1,1,9,1.51214,0.027000000000000003,3547.686226415094,0.0,6035.0,1.21,1.13,4.35,1744.6
1,1,1,9,5.35227,0.0618,3619.048679245283,0.33,5650.0,1.19,1.1,4.36,732.409
0,1,1,9,5.35227,0.0618,3690.4111320754714,0.37,5650.0,1.19,1.1,4.2,732.409
0,1,1,9,3.7681,0.0481,3761.7735849056603,0.185,5740.0,1.62,1.04,4.04,1176.12
1,1,1,9,3.7681,0.0461,3833.1360377358487,0.0,5740.0,1.59,1.04,4.4,1176.12
0,1,1,9,3.7681,0.0481,3904.4984905660376,0.081,5740.0,1.59,1.04,4.445,1176.12
0,1,1,9,1.90009,0.0288,3975.8609433962265,0.06233333333333334,5590.0,0.88,0.88,4.49,764.8889999999999
0,1,1,9,1.9000693,0.0286,4047.223396226415,0.043666666666666666,5440.0,0.92,0.86,4.44,764.8889999999999
0,1,1,9,1.9000693,0.0295,4118.585849056604,0.025,5440.0,1.0,0.95,4.42,764.8889999999999
1,1,1,9,1.9000693,0.0295,4189.948301886792,0.08,5440.0,1.0,0.95,4.4,764.8889999999999
0,1,1,9,3.89713,0.051660000000000005,4261.310754716981,0.055999999999999994,6090.0,1.65,1.21,4.26,790.663
0,1,1,9,3.89713,0.0512,4332.67320754717,0.0515,6090.0,1.58,1.18,4.12,790.663
1,1,1,9,3.89713,0.0518,4404.035660377358,0.047,6090.0,1.65,1.21,4.07,790.663
0,2,1,9,1.7429964,0.0281,4475.398113207547,0.0,5857.5,1.275,1.0899999999999999,4.223333333333334,213.283
0,2,1,9,1.74299673,0.0281,4546.760566037736,0.024,5625.0,0.9,0.97,4.376666666666667,213.283
0,2,1,9,1.7429935,0.02835,4618.123018867924,0.012,5598.0,0.9,1.0,4.53,213.283
0,2,1,9,1.7429974999999998,0.0283975,4689.4854716981135,0.0,5625.0,0.9,0.97,4.3,213.283
0,2,1,9,1.74299609,0.028444999999999998,4760.8479245283015,0.003575,5575.0,0.9199999999999999,0.97,4.390000000000001,213.283
0,2,1,9,1.74299673,0.0284925,4832.21037735849,0.00715,5529.0,0.94,0.97,4.48,213.283
0,2,1,9,1.7429935,0.02854,4903.572830188679,0.010725,5696.0,0.91,1.02,4.53,213.283
1,2,1,9,1.7429935,0.02798,4974.935283018867,0.0143,5625.0,0.91,0.96,4.4399999999999995,213.283
